uuid,upstream,source,name,version,date_modifi,completenes,source_url,raw-source,type,services,physical_ad,phone,mobile,email,url,activities,beds,ancillary_s,tags,scope_of_se,nature_of_f,ownership,staff,defining_ho,notes,inpatient_s,raw_source,what3words,source2,note,family_prac,emergency_p,heliport,contact,servicios_d,fracturas_a,traslados_d,service,lon,lat
"6db488a3c25d4308a78b70e8002201d5","openstreetmap¶n1871130154","OpenStreetMap","Aga Khan Health Education Services","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1871130154","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","defiance.places.dispense","OpenStreetMap","null","null","null","null","null","null","null","null","null",71.5706631,36.7045961
"071e12fcf10841f7ae42974e110b83b8","openstreetmap¶n1524299009","OpenStreetMap","Agam hospital","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1524299009","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","evade.marquees.heyday","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.2774307,34.2073485
"79679ad715a84404919601bfdbacb763","OpenStreetMap¶w386898668","OpenStreetMap","Aino Maternity Clinic","2","2015-12-21 07:37:04+00:00","29.41%","http://www.openstreetmap.org/way/386898668","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","reinvest.period.coolest","OpenStreetMap","null","null","null","null","null","null","null","null","null",65.6989405598645,31.6134544
"bf844f0c768e481d83e92009c885272e","OpenStreetMap¶w388628508","OpenStreetMap","Al Hadi Farhad Hospital","2","2015-12-30 09:13:34+00:00","29.41%","http://www.openstreetmap.org/way/388628508","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","gracing.highs.remodels","OpenStreetMap","null","null","null","null","null","null","null","null","null",65.6995532675546,31.61288735
"3a595e97b334435090c0b6fc4b74bb25","openstreetmap¶n1732050710","OpenStreetMap","Ali Abad Hospital (Shahre Ara)","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1732050710","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","bigger.barrel.tungsten","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.1601518,34.5329459
"8b744106e0294ab0bd41b73cf84b8f8c","openstreetmap¶w200364379","OpenStreetMap","Chahrsad Bester","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/200364379","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","tourist.beaks.tapes","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.1889743590491,34.54112455
"334905551d7c4899a0f8ff4d87a3ac02","OpenStreetMap¶w395776989","OpenStreetMap","Clinic","2","2016-02-03 14:20:18+00:00","29.41%","http://www.openstreetmap.org/way/395776989","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","commentator.condoning.forbidden","OpenStreetMap","null","null","null","null","null","null","null","null","null",71.1563148687294,36.63520175
"26326dfafb3746b29cf4ce06160ec7ff","OpenStreetMap¶n3975513702","OpenStreetMap","Clinic","2","2016-01-29 10:09:03+00:00","29.41%","http://www.openstreetmap.org/node/3975513702","null","clinic","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","illustrates.patchy.chemists","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.9199612,36.5556912
"4b41d821642c4be1a4e45f83f6de112c","openstreetmap¶n1512483958","OpenStreetMap","Dara I Nur hospital","2","2015-11-17 09:43:57.838516+00:00","35.29%","http://www.openstreetmap.org/node/1512483958","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","wrestled.dorm.endures","OpenStreetMap","null","null","null","null","null","null","null","null","null",70.6060578,34.6809618
"a582f22f159644a1853107c41721e3e2","openstreetmap¶w94238106","OpenStreetMap","Emergency Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/94238106","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","dimension.ethic.scarred","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.1749379584454,34.5326841
"f258969d0bbe4b599fcd014e986acc39","openstreetmap¶w94238098","OpenStreetMap","Emergency Hospital","2","2015-12-11 10:51:22.924404+00:00","35.29%","http://www.openstreetmap.org/way/94238098","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","forever.firelight.cuddling","OpenStreetMap","null","null","null","null","null","null","null","null","null",69.1748216494381,34.53254895
"7b512fa37d3741a7a1c8b7bea217d840","OpenStreetMap¶n4628631282","OpenStreetMap","Garam Ab Health Facility","2","2017-01-24 11:46:26+00:00","29.41%","http://www.openstreetmap.org/node/4628631282","null","hospital","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","typos.harder.safari","OpenStreetMap","null","null","null","null","null","null","null","null","null",65.9524456,34.4557248
