iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.604166667,-78.9375,COL.21.60_1_gadm36,1234.129761,3247.541271,3247.541271,1020173,1020173,4
COL,1.6875,-78.9375,COL.21.60_1_gadm36,829.6608887,3853.839783,3853.839783,1020121,1020121,5
COL,1.604166667,-78.89583333,COL.21.60_1_gadm36,1437.915405,1593.756162,1593.756162,1020251,1020251,6
COL,1.6875,-78.89583333,COL.21.60_1_gadm36,1379.274902,1353.514678,1353.514678,1020144,1020144,8
COL,1.5625,-78.89583333,COL.21.60_1_gadm36,1297.674927,1387.292381,1387.292381,1020248,1020248,9
COL,1.604166667,-78.85416667,COL.21.60_1_gadm36,1463.804565,1597.897947,1597.897947,1020250,1020250,10
COL,1.6875,-78.85416667,COL.21.60_1_gadm36,1449.847412,1367.724246,1367.724246,1020135,1020135,12
COL,1.520833333,-78.85416667,COL.21.60_1_gadm36,1332.80957,4421.433333,4421.433333,1020267,1020267,13
COL,1.520833333,-78.8125,COL.21.60_1_gadm36,1534.378662,697.8706561,697.8706561,1020105,1020105,14
COL,1.729166667,-78.8125,COL.21.60_1_gadm36,1475.747925,3763.653695,3763.653695,1020126,1020126,15
COL,1.604166667,-78.8125,COL.21.60_1_gadm36,1444.427002,2438.74017,2438.74017,1020142,1020142,17
COL,1.479166667,-78.8125,COL.21.60_1_gadm36,1404.38501,2678.97735,2678.97735,1020282,1020282,18
COL,1.4375,-78.8125,COL.21.60_1_gadm36,1237.340942,5976.869692,5976.869692,1020267,1020267,19
COL,1.8125,-78.8125,COL.21.60_1_gadm36,370.0093079,966.2277925,966.2277925,1020260,1020260,20
COL,1.479166667,-78.77083333,COL.21.60_1_gadm36,1461.321777,3759.728789,3759.728789,1020282,1020282,21
COL,1.645833333,-78.77083333,COL.21.60_1_gadm36,1461.204346,1093.068637,1093.068637,1020193,1020193,22
COL,1.729166667,-78.77083333,COL.21.60_1_gadm36,1368.94751,1178.340276,1178.340276,1020138,1020138,23
COL,1.4375,-78.77083333,COL.21.60_1_gadm36,1428.276245,7464.955384,7464.955384,1020282,1020282,24
COL,1.4375,-78.72916667,COL.21.60_1_gadm36,1448.060791,3709.435458,3709.435458,1010499,1010499,26
COL,1.6875,-78.72916667,COL.21.60_1_gadm36,1400.53418,1364.122927,1364.122927,1020271,1020271,28
COL,1.5625,-78.72916667,COL.21.60_1_gadm36,1405.221191,1766.9123,1766.9123,1020154,1020154,29
COL,1.395833333,-78.72916667,COL.21.60_1_gadm36,1399.432983,3867.902614,4072.24227,1020182,1010499,30
COL,1.520833333,-78.72916667,COL.21.60_1_gadm36,1334.918945,951.8127586,951.8127586,540749,540749,31
COL,1.770833333,-78.72916667,COL.21.60_1_gadm36,692.4129639,5008.820349,5008.820349,1020236,1020236,32
COL,1.520833333,-78.6875,COL.21.60_1_gadm36,1466.600952,1650.116121,1650.116121,541056,541056,33
COL,1.6875,-78.6875,COL.21.60_1_gadm36,1447.302124,419.2814545,419.2814545,540751,540751,35
COL,1.395833333,-78.6875,COL.21.60_1_gadm36,1415.37439,1036.27228,1036.27228,1020177,1020177,36
COL,1.479166667,-78.6875,COL.21.60_1_gadm36,1420.576538,1153.130028,1153.130028,1020128,1020128,37
COL,1.770833333,-78.6875,COL.21.60_1_gadm36,507.5021667,1971.090812,1971.090812,1020210,1020210,38
COL,1.354166667,-78.6875,COL.21.60_1_gadm36,1170.783813,3063.829249,3958.783224,1020182,1020180,39
COL,1.354166667,-78.64583333,COL.21.60_1_gadm36,1408.440186,702.0239594,702.0239594,1020180,1020180,43
COL,1.479166667,-78.64583333,COL.21.60_1_gadm36,1449.471069,779.7172594,779.7172594,540733,540733,44
COL,1.4375,-78.64583333,COL.21.60_1_gadm36,1449.151978,886.552137,886.552137,1020198,1020198,47
COL,1.729166667,-78.64583333,COL.21.60_1_gadm36,1351.39209,1419.729163,1419.729163,540752,540752,49
COL,1.3125,-78.64583333,COL.21.60_1_gadm36,1316.346191,4870.584236,4870.584236,1020180,1020180,51
COL,1.3125,-78.60416667,COL.21.60_1_gadm36,1447.538208,4425.913648,4425.913648,1020306,1020306,55
COL,1.4375,-78.60416667,COL.21.60_1_gadm36,1447.461304,1484.523522,1484.523522,541315,541315,56
COL,1.520833333,-78.60416667,COL.21.60_1_gadm36,1447.40625,2676.800914,2676.800914,1020098,1020098,57
COL,1.604166667,-78.60416667,COL.21.60_1_gadm36,1447.348022,1164.091613,1164.091613,1020200,1020200,58
COL,1.6875,-78.60416667,COL.21.60_1_gadm36,1388.495483,1242.292877,1242.292877,1020286,1020286,59
