id,admin_id,lat,lon,name,provider,is_private,provider_is_private,geo_checked
679958,COL.2.13_1_gadm36,5.7195689,-75.0846856,La Reina,OSM,f,f,t
683492,COL.18.6_1_gadm36,11.4254638,-72.8953923,Escuela el mojan,OSM,f,f,t
680306,COL.7.21_1_gadm36,5.4687856,-74.9561327,Media Cuesta,OSM,f,f,t
680321,COL.29.31_1_gadm36,3.3220583,-75.6543761,Esc. El Jazmin,OSM,f,f,t
680338,COL.29.28_1_gadm36,3.4880178,-75.1063168,Esc. Mercadillo El Progreso,OSM,f,f,t
680049,COL.2.42_1_gadm36,7.5959961,-74.7569996,Esc. Luis Cano,OSM,f,f,t
680057,COL.2.73_1_gadm36,7.8789228,-74.894234,Esc. Quebrada Ciénaga Alta,OSM,f,f,t
680058,COL.2.73_1_gadm36,7.9700939,-74.887473,Esc. Concepcion,OSM,f,f,t
680061,COL.2.42_1_gadm36,8.0184537,-74.7876192,Esc. La Esperanza,OSM,f,f,t
680062,COL.2.42_1_gadm36,8.0182137,-74.7877392,Esc. La Esperanza,OSM,f,f,t
680063,COL.2.42_1_gadm36,8.0333333,-74.7088564,Esc. Trinidad Abajo,OSM,f,f,t
680065,COL.2.42_1_gadm36,8.0334233,-74.7090664,Esc. Trinidad Abajo,OSM,f,f,t
680066,COL.2.42_1_gadm36,8.0634537,-74.7138464,Esc. Islas Verdes,OSM,f,f,t
680067,COL.2.42_1_gadm36,8.0487233,-74.6944658,Esc. Platanal,OSM,f,f,t
680096,COL.2.93_1_gadm36,8.6159769,-76.5353746,Esc. El Arquillo,OSM,f,f,t
680105,COL.2.74_1_gadm36,8.718019,-76.5987059,Esc. Vijagual,OSM,f,f,t
680113,COL.2.12_1_gadm36,8.7676789,-76.4922417,Esc. El Bongo,OSM,f,f,t
680170,COL.5.30_1_gadm36,7.7800646,-74.0346661,Esc. Tamacondo,OSM,f,f,t
680175,COL.5.30_1_gadm36,7.7366035,-73.9508837,Esc. Animas Altas,OSM,f,f,t
680519,COL.10.29_1_gadm36,1.9671693,-76.7147266,Esc. Monteredondo,OSM,f,f,t
681005,COL.18.2_1_gadm36,10.5992891,-72.8624107,Esc. Barriales,OSM,f,f,t
681083,COL.21.18_1_gadm36,1.3498446,-77.0202285,Esc. Paramo Bajo,OSM,f,f,t
681097,COL.21.18_1_gadm36,1.4418021,-77.1018957,Esc. Viña,OSM,f,f,t
681113,COL.21.1_1_gadm36,1.5270362,-77.0934708,Esc. Martin,OSM,f,f,t
681129,COL.21.51_1_gadm36,1.6391674,-77.2629367,Esc. Charguayaco,OSM,f,f,t
681191,COL.22.30_1_gadm36,8.4091552,-73.2386649,Esc. Burgama,OSM,f,f,t
681264,COL.22.37_1_gadm36,8.5337585,-72.9504783,Esc. Buenos Aires,OSM,f,f,t
680631,COL.12.20_1_gadm36,5.2977227,-76.5808597,Esc. Ibordo,OSM,f,f,t
680693,COL.13.25_1_gadm36,7.9802647,-76.1907278,Esc. Chibogado Alto,OSM,f,f,t
680801,COL.6.25_1_gadm36,5.4366436,-74.1048308,Esc. El Triunfo,OSM,f,f,t
680872,COL.17.27_1_gadm36,2.0040885,-76.1657173,Esc. Alto Medianias,OSM,f,f,t
680949,COL.17.18_1_gadm36,2.6010625,-75.7885728,Esc. Las Mercedes,OSM,f,f,t
681355,COL.23.2_1_gadm36,0.6532088,-76.7999414,Esc. El Treinta Y Cinco,OSM,f,f,t
680137,COL.5.6_1_gadm36,7.318262,-73.9428445,Esc. Patico Bajo,OSM,f,f,t
680140,COL.5.30_1_gadm36,7.5281815,-74.000957,Esc. Bajo Taracue,OSM,f,f,t
680148,COL.5.30_1_gadm36,7.6939327,-73.9158529,Esc. Mata Bambu,OSM,f,f,t
680155,COL.5.29_1_gadm36,7.892248,-74.2787533,Esc. La Libertad,OSM,f,f,t
680162,COL.5.29_1_gadm36,7.9638283,-74.2131605,Esc. San Alberto,OSM,f,f,t
680169,COL.5.29_1_gadm36,8.0228187,-74.1813489,Esc. San Cristobal,OSM,f,f,t
682362,COL.21.50_1_gadm36,1.1401688,-77.2397006,,OSM,f,f,t
682376,COL.28.9_1_gadm36,9.3792448,-75.2661841,Hogar Comunitario Brisas del Campo,OSM,f,f,t
682379,COL.28.9_1_gadm36,9.3807978,-75.263526,Hogar de Bienestar,OSM,f,f,t
682380,COL.28.9_1_gadm36,9.3829449,-75.2697443,Hogar de Bienestar,OSM,f,f,t
682389,COL.14.79_1_gadm36,4.6947836,-74.0563394,ECOTET - Escuela Colombiana de Hoteleria y Turismo,OSM,f,f,t
682397,COL.10.23_1_gadm36,2.1196279,-76.9814082,Segismundo Zapata Rios,OSM,f,f,t
682413,COL.10.33_1_gadm36,2.3509946,-76.674555,Jardín Infantil,OSM,f,f,t
682428,COL.30.26_1_gadm36,3.574172,-76.4948653,Institución Edicativa mayor de Yumbo,OSM,f,f,t
682436,COL.30.26_1_gadm36,3.5855766,-76.4900746,Colegio Bautista,OSM,f,f,t
682437,COL.24.3_1_gadm36,4.4672227,-75.645438,Escuela La Paloma,OSM,f,f,t
682445,COL.2.88_1_gadm36,6.8945997,-75.7270132,San Julián,OSM,f,f,t
682446,COL.2.92_1_gadm36,6.8599947,-75.72782,Las Aguilas,OSM,f,f,t
682447,COL.2.92_1_gadm36,6.884809,-75.6636959,Cruces,OSM,f,f,t
682461,COL.2.88_1_gadm36,6.9318825,-75.6482554,El Roble.,OSM,f,f,t
682463,COL.2.111_1_gadm36,6.9335944,-75.7211042,Bioguí.,OSM,f,f,t
682477,COL.28.21_1_gadm36,9.2950734,-75.3799599,CENTRO EDUCATIVO MIS PRIMERAS LETRAS,OSM,f,f,t
682552,COL.6.122_1_gadm36,5.4343047,-73.3242555,El Rosal,OSM,f,f,t
682558,COL.5.7_1_gadm36,10.4911221,-75.477294,,OSM,f,f,t
682566,COL.14.22_1_gadm36,4.8147296,-74.1036782,Gimnasio Fuentes del Rio,OSM,f,f,t
682573,COL.2.58_1_gadm36,6.1628667,-75.6365983,Colegio Divino Salvador,OSM,f,f,t
682648,COL.10.7_1_gadm36,2.7971902,-76.4844831,Susana,OSM,f,f,t
682651,COL.10.2_1_gadm36,2.3590001,-77.2475855,La Delgadita,OSM,f,f,t
683247,COL.29.12_1_gadm36,3.8379539,-75.1748765,SEDE EDU. DOYARE ESMERALDA - COYAIMA,OSM,f,f,t
683257,COL.2.41_1_gadm36,6.3264451,-75.7649608,Institución Educativa Urbana San José,OSM,f,f,t
683264,COL.14.8_1_gadm36,4.7873877,-74.5533721,IED agropecuario la sierra,OSM,f,f,t
682304,COL.14.79_1_gadm36,4.6585329,-74.0624785,Colegio Gimnasio Americano,OSM,f,f,t
682318,COL.10.13_1_gadm36,2.5534694,-76.0515779,Escuela San Francisco,OSM,f,f,t
682319,COL.14.79_1_gadm36,4.659678,-74.0780159,Universidad Distrital,OSM,f,f,t
682348,COL.30.32_1_gadm36,3.415178,-76.5149676,Villa del Sur,OSM,f,f,t
682354,COL.6.51_1_gadm36,5.5313689,-74.1001002,Escuela Dptl Mixto San Marcos,OSM,f,f,t
682787,COL.18.5_1_gadm36,11.5465747,-72.9096659,FIDELIA NARÖA NAVAS,OSM,f,f,t
682793,COL.8.15_1_gadm36,0.8723167,-75.6189397,Institución Educativa Internando Escolar Rural Sólita Sede Primaria,OSM,f,f,t
682797,COL.8.13_1_gadm36,1.3333853,-74.8398204,Institucion Educativa EL chaira Jose Maria Cordoba,OSM,f,f,t
